location,latency_ms,packet_loss_percent,status_code
Prince-Albert_Core_Switch_01,69.52,0.99,200
Lloydminster_Core_Switch_01,32.63,0.65,429
Regina_Core_Switch_01,11.95,2.26,200
Lloydminster_Core_Switch_01,56.53,2.64,200
Moose-Jaw_Core_Switch_01,57.39,2.37,200
Prince-Albert_Core_Switch_01,11.7,0.48,200
Regina_Core_Switch_01,68.96,1.82,200
Prince-Albert_Core_Switch_01,66.0,2.81,200
Prince-Albert_Core_Switch_01,25.94,1.55,200
Lloydminster_Core_Switch_01,61.8,1.44,200
Regina_Core_Switch_01,42.11,0.14,200
Lloydminster_Core_Switch_01,11.42,1.26,200
Prince-Albert_Core_Switch_01,34.47,2.52,200
Prince-Albert_Core_Switch_01,46.88,0.86,200
Prince-Albert_Core_Switch_01,60.48,0.24,200
Regina_Core_Switch_01,28.82,0.69,200
Moose-Jaw_Core_Switch_01,54.03,2.85,200
Prince-Albert_Core_Switch_01,60.18,2.92,200
Regina_Core_Switch_01,20.11,1.21,200
Prince-Albert_Core_Switch_01,47.33,0.98,200
Regina_Core_Switch_01,41.88,1.8,200
Moose-Jaw_Core_Switch_01,29.85,1.99,200
Saskatoon_Core_Switch_01,61.36,1.82,200
Saskatoon_Core_Switch_01,45.84,1.06,200
Lloydminster_Core_Switch_01,37.28,0.35,200
Moose-Jaw_Core_Switch_01,47.99,2.69,200
Lloydminster_Core_Switch_01,107.61,9.46,503
Lloydminster_Core_Switch_01,45.99,0.98,200
Saskatoon_Core_Switch_01,30.2,1.26,200
Saskatoon_Core_Switch_01,33.79,1.28,200
Lloydminster_Core_Switch_01,43.17,0.84,200
Lloydminster_Core_Switch_01,52.54,1.46,200
Lloydminster_Core_Switch_01,24.9,0.39,200
Prince-Albert_Core_Switch_01,20.62,0.27,200
Lloydminster_Core_Switch_01,62.09,1.86,200
Moose-Jaw_Core_Switch_01,54.32,1.95,200
Moose-Jaw_Core_Switch_01,49.88,0.69,200
Saskatoon_Core_Switch_01,12.99,0.48,200
Prince-Albert_Core_Switch_01,16.26,2.59,200
Moose-Jaw_Core_Switch_01,29.25,2.27,200
Regina_Core_Switch_01,38.7,2.1,200
Prince-Albert_Core_Switch_01,23.39,2.9,200
Regina_Core_Switch_01,136.06,12.72,200
Prince-Albert_Core_Switch_01,49.64,2.53,200
Saskatoon_Core_Switch_01,37.27,1.41,200
Moose-Jaw_Core_Switch_01,17.56,1.43,200
Regina_Core_Switch_01,31.85,1.93,200
Regina_Core_Switch_01,29.65,2.0,200
Prince-Albert_Core_Switch_01,67.29,0.79,200
Regina_Core_Switch_01,31.56,0.07,429
Prince-Albert_Core_Switch_01,22.09,1.05,200
Moose-Jaw_Core_Switch_01,55.02,0.95,200
Saskatoon_Core_Switch_01,55.6,2.54,200
Regina_Core_Switch_01,17.38,2.97,200
Lloydminster_Core_Switch_01,30.89,2.29,200
Moose-Jaw_Core_Switch_01,57.11,1.29,200
Lloydminster_Core_Switch_01,52.8,1.2,200
Lloydminster_Core_Switch_01,21.85,1.51,200
Moose-Jaw_Core_Switch_01,12.09,1.01,200
Moose-Jaw_Core_Switch_01,31.23,1.62,200
Moose-Jaw_Core_Switch_01,38.19,1.59,200
Saskatoon_Core_Switch_01,26.57,0.68,200
Prince-Albert_Core_Switch_01,12.38,1.87,429
Saskatoon_Core_Switch_01,58.76,1.94,200
Lloydminster_Core_Switch_01,47.28,1.35,200
Prince-Albert_Core_Switch_01,56.31,2.33,200
Prince-Albert_Core_Switch_01,33.5,1.39,200
Moose-Jaw_Core_Switch_01,31.09,0.58,200
Moose-Jaw_Core_Switch_01,19.87,0.1,200
Prince-Albert_Core_Switch_01,29.98,2.67,200
Saskatoon_Core_Switch_01,16.24,2.86,200
Regina_Core_Switch_01,31.12,0.18,200
Lloydminster_Core_Switch_01,59.45,2.02,200
Regina_Core_Switch_01,52.73,0.56,200
Saskatoon_Core_Switch_01,14.14,2.35,200
Saskatoon_Core_Switch_01,64.67,2.69,200
Lloydminster_Core_Switch_01,26.28,0.43,200
Prince-Albert_Core_Switch_01,44.63,1.82,200
Prince-Albert_Core_Switch_01,51.59,0.46,200
Regina_Core_Switch_01,31.31,1.34,200
Saskatoon_Core_Switch_01,26.59,1.78,200
Saskatoon_Core_Switch_01,17.38,2.42,200
Saskatoon_Core_Switch_01,22.36,1.3,200
Moose-Jaw_Core_Switch_01,35.08,0.08,200
Lloydminster_Core_Switch_01,15.12,2.61,200
Moose-Jaw_Core_Switch_01,42.45,0.67,200
Saskatoon_Core_Switch_01,40.64,1.56,200
Lloydminster_Core_Switch_01,58.04,1.89,200
Moose-Jaw_Core_Switch_01,60.04,2.55,200
Regina_Core_Switch_01,28.14,1.89,429
Saskatoon_Core_Switch_01,31.29,1.36,200
Moose-Jaw_Core_Switch_01,26.68,1.9,200
Regina_Core_Switch_01,60.23,1.98,200
Saskatoon_Core_Switch_01,16.27,1.51,200
Saskatoon_Core_Switch_01,30.15,1.81,200
Prince-Albert_Core_Switch_01,51.85,0.9,200
Lloydminster_Core_Switch_01,50.24,1.59,200
Moose-Jaw_Core_Switch_01,14.81,2.61,429
Regina_Core_Switch_01,20.43,2.78,200
Regina_Core_Switch_01,11.13,2.56,200
Lloydminster_Core_Switch_01,29.27,0.68,200
Lloydminster_Core_Switch_01,14.08,2.75,200
Regina_Core_Switch_01,66.4,2.76,200
Regina_Core_Switch_01,45.15,2.29,200
Moose-Jaw_Core_Switch_01,48.48,2.81,200
Lloydminster_Core_Switch_01,61.95,1.75,200
Prince-Albert_Core_Switch_01,52.23,2.26,200
Moose-Jaw_Core_Switch_01,19.08,0.76,200
Prince-Albert_Core_Switch_01,48.76,0.92,200
Moose-Jaw_Core_Switch_01,14.33,0.35,200
Moose-Jaw_Core_Switch_01,69.37,1.55,200
Moose-Jaw_Core_Switch_01,33.24,1.02,200
Prince-Albert_Core_Switch_01,18.46,1.66,200
Saskatoon_Core_Switch_01,23.78,0.02,429
Regina_Core_Switch_01,54.17,0.1,200
Moose-Jaw_Core_Switch_01,68.47,0.56,200
Regina_Core_Switch_01,28.85,2.58,200
Saskatoon_Core_Switch_01,61.88,2.91,200
Lloydminster_Core_Switch_01,54.0,0.48,200
Moose-Jaw_Core_Switch_01,32.02,2.95,200
Lloydminster_Core_Switch_01,46.85,1.16,200
Regina_Core_Switch_01,43.09,1.15,200
Moose-Jaw_Core_Switch_01,42.3,1.85,200
Moose-Jaw_Core_Switch_01,65.3,2.5,200
Lloydminster_Core_Switch_01,26.4,2.01,200
Lloydminster_Core_Switch_01,47.99,0.62,429
Lloydminster_Core_Switch_01,67.43,0.63,200
Regina_Core_Switch_01,11.8,2.74,200
Regina_Core_Switch_01,12.73,1.65,200
Lloydminster_Core_Switch_01,18.36,0.58,200
Regina_Core_Switch_01,59.22,1.89,200
Saskatoon_Core_Switch_01,24.32,1.93,200
Regina_Core_Switch_01,10.89,0.26,200
Lloydminster_Core_Switch_01,65.16,2.51,200
Lloydminster_Core_Switch_01,40.77,2.05,200
Lloydminster_Core_Switch_01,14.76,2.82,200
Regina_Core_Switch_01,58.62,0.28,200
Regina_Core_Switch_01,50.94,2.85,503
Lloydminster_Core_Switch_01,39.45,2.35,200
Regina_Core_Switch_01,39.03,1.74,200
Moose-Jaw_Core_Switch_01,59.45,2.97,200
Moose-Jaw_Core_Switch_01,21.55,1.96,200
Moose-Jaw_Core_Switch_01,69.61,0.65,200
Lloydminster_Core_Switch_01,50.18,0.74,200
Regina_Core_Switch_01,52.58,0.27,200
Prince-Albert_Core_Switch_01,49.98,1.02,200
Moose-Jaw_Core_Switch_01,46.09,2.63,200
Lloydminster_Core_Switch_01,32.62,0.85,200
Moose-Jaw_Core_Switch_01,16.03,0.99,200
Saskatoon_Core_Switch_01,40.4,1.01,200
Regina_Core_Switch_01,29.11,0.38,200
Prince-Albert_Core_Switch_01,40.02,1.58,200
Saskatoon_Core_Switch_01,63.89,0.85,200
Moose-Jaw_Core_Switch_01,61.92,2.58,200
Regina_Core_Switch_01,32.23,2.08,200
Saskatoon_Core_Switch_01,68.34,1.87,200
Prince-Albert_Core_Switch_01,33.53,1.9,200
Regina_Core_Switch_01,21.26,1.68,200
Moose-Jaw_Core_Switch_01,35.04,2.04,200
Lloydminster_Core_Switch_01,21.6,2.33,200
Lloydminster_Core_Switch_01,21.33,0.06,200
Moose-Jaw_Core_Switch_01,45.65,1.37,200
Saskatoon_Core_Switch_01,49.01,1.76,200
Regina_Core_Switch_01,26.79,2.32,200
Regina_Core_Switch_01,28.11,1.58,200
Moose-Jaw_Core_Switch_01,11.54,1.29,200
Saskatoon_Core_Switch_01,17.06,2.92,200
Saskatoon_Core_Switch_01,16.67,0.85,200
Regina_Core_Switch_01,42.18,0.98,200
Saskatoon_Core_Switch_01,32.95,1.43,200
Regina_Core_Switch_01,23.28,0.7,200
Moose-Jaw_Core_Switch_01,38.43,0.77,200
Prince-Albert_Core_Switch_01,18.03,2.05,200
Prince-Albert_Core_Switch_01,31.87,1.48,200
Saskatoon_Core_Switch_01,60.33,1.95,200
Prince-Albert_Core_Switch_01,46.56,2.38,200
Saskatoon_Core_Switch_01,30.58,2.05,200
Lloydminster_Core_Switch_01,43.43,1.98,429
Prince-Albert_Core_Switch_01,38.81,0.44,200
Regina_Core_Switch_01,64.97,0.34,200
Regina_Core_Switch_01,47.5,2.9,200
Regina_Core_Switch_01,54.52,1.01,200
Moose-Jaw_Core_Switch_01,28.28,0.14,200
Regina_Core_Switch_01,34.87,2.08,200
Moose-Jaw_Core_Switch_01,30.35,2.83,200
Prince-Albert_Core_Switch_01,35.74,1.94,200
Moose-Jaw_Core_Switch_01,63.82,1.76,200
Prince-Albert_Core_Switch_01,51.71,2.79,200
Moose-Jaw_Core_Switch_01,20.2,1.33,200
Regina_Core_Switch_01,12.11,2.01,200
Moose-Jaw_Core_Switch_01,171.68,13.41,504
Lloydminster_Core_Switch_01,66.75,1.43,200
Saskatoon_Core_Switch_01,65.91,0.79,200
Saskatoon_Core_Switch_01,69.78,2.53,200
Prince-Albert_Core_Switch_01,54.62,1.15,200
Regina_Core_Switch_01,61.17,0.26,200
Regina_Core_Switch_01,56.29,1.86,200
Regina_Core_Switch_01,64.92,1.69,200
Prince-Albert_Core_Switch_01,27.05,2.05,200
Moose-Jaw_Core_Switch_01,55.48,0.89,200
Moose-Jaw_Core_Switch_01,19.02,0.1,200
Moose-Jaw_Core_Switch_01,50.51,0.92,200
Moose-Jaw_Core_Switch_01,29.51,0.19,200
Lloydminster_Core_Switch_01,69.97,0.9,200
Regina_Core_Switch_01,45.74,2.51,200
Moose-Jaw_Core_Switch_01,15.34,0.56,200
Saskatoon_Core_Switch_01,64.53,0.62,200
Regina_Core_Switch_01,61.87,1.24,200
Lloydminster_Core_Switch_01,47.21,0.12,200
Moose-Jaw_Core_Switch_01,49.77,0.6,200
Saskatoon_Core_Switch_01,12.39,1.15,200
Regina_Core_Switch_01,208.58,15.13,503
Lloydminster_Core_Switch_01,67.17,1.5,200
Prince-Albert_Core_Switch_01,34.54,0.34,200
Regina_Core_Switch_01,39.11,1.04,200
Moose-Jaw_Core_Switch_01,12.46,1.31,200
Regina_Core_Switch_01,26.26,1.33,200
Lloydminster_Core_Switch_01,14.37,1.26,429
Regina_Core_Switch_01,19.37,0.9,200
Prince-Albert_Core_Switch_01,41.42,0.46,200
Regina_Core_Switch_01,42.17,1.01,200
Regina_Core_Switch_01,58.77,1.67,200
Saskatoon_Core_Switch_01,65.91,1.83,200
Regina_Core_Switch_01,51.17,1.61,200
Saskatoon_Core_Switch_01,10.85,1.77,200
Regina_Core_Switch_01,48.08,0.75,200
Moose-Jaw_Core_Switch_01,23.4,2.1,200
Regina_Core_Switch_01,33.53,0.53,200
Saskatoon_Core_Switch_01,62.47,1.03,200
Regina_Core_Switch_01,20.57,1.1,200
Lloydminster_Core_Switch_01,44.05,3.0,200
Saskatoon_Core_Switch_01,38.98,0.6,200
Lloydminster_Core_Switch_01,14.62,2.22,200
Saskatoon_Core_Switch_01,43.92,0.64,200
Saskatoon_Core_Switch_01,13.7,1.08,200
Saskatoon_Core_Switch_01,68.04,0.98,200
Lloydminster_Core_Switch_01,58.63,2.14,200
Saskatoon_Core_Switch_01,18.12,1.31,200
Moose-Jaw_Core_Switch_01,55.73,1.17,200
Regina_Core_Switch_01,30.55,1.33,200
Moose-Jaw_Core_Switch_01,25.75,2.42,200
Saskatoon_Core_Switch_01,42.02,1.01,200
Prince-Albert_Core_Switch_01,53.31,2.64,200
Prince-Albert_Core_Switch_01,29.25,2.81,200
Regina_Core_Switch_01,30.9,0.35,200
Regina_Core_Switch_01,52.8,2.43,200
Regina_Core_Switch_01,50.14,3.0,200
Lloydminster_Core_Switch_01,60.56,1.08,200
Prince-Albert_Core_Switch_01,14.31,1.44,200
Lloydminster_Core_Switch_01,20.88,1.74,200
Regina_Core_Switch_01,25.44,2.48,200
Lloydminster_Core_Switch_01,46.93,2.13,200
Saskatoon_Core_Switch_01,11.0,1.91,200
Moose-Jaw_Core_Switch_01,56.46,2.96,200
Saskatoon_Core_Switch_01,55.69,2.61,200
Saskatoon_Core_Switch_01,33.69,1.16,200
Lloydminster_Core_Switch_01,62.49,0.77,200
Moose-Jaw_Core_Switch_01,56.61,1.84,200
Regina_Core_Switch_01,66.89,0.76,200
Saskatoon_Core_Switch_01,24.87,1.45,200
Saskatoon_Core_Switch_01,67.95,2.09,200
Prince-Albert_Core_Switch_01,40.9,0.45,200
Saskatoon_Core_Switch_01,23.83,1.38,200
Moose-Jaw_Core_Switch_01,36.85,2.74,200
Lloydminster_Core_Switch_01,95.35,2.65,503
Moose-Jaw_Core_Switch_01,56.34,1.36,200
Regina_Core_Switch_01,42.98,1.05,503
Prince-Albert_Core_Switch_01,25.98,1.86,200
Saskatoon_Core_Switch_01,22.79,1.33,200
Moose-Jaw_Core_Switch_01,60.98,0.74,200
Regina_Core_Switch_01,25.22,0.84,200
Regina_Core_Switch_01,69.9,15.1,504
